Filename	Seed	#Vars	#Clauses	Optimal found (LS)	Time (LS)	Optimal found (GLS)	Time (GLS)
test_data/max_4_sat/4sat_300_1500_48.cnf	1677856031	300	1500	1493	0.00305039	1500	0.0858637
test_data/max_4_sat/4sat_300_1500_17.cnf	1677856031	300	1500	1491	0.00325616	1500	0.241949
test_data/max_4_sat/4sat_300_1500_20.cnf	1677856031	300	1500	1492	0.00443744	1500	0.216447
test_data/max_4_sat/4sat_300_1500_2.cnf	1677856031	300	1500	1492	0.00423903	1500	0.210117
test_data/max_4_sat/4sat_300_1500_9.cnf	1677856032	300	1500	1489	0.00457787	1500	0.194091
test_data/max_4_sat/4sat_300_1500_38.cnf	1677856032	300	1500	1492	0.0038519	1500	0.125528
test_data/max_4_sat/4sat_300_1500_32.cnf	1677856032	300	1500	1491	0.00219462	1500	0.0976475
test_data/max_4_sat/4sat_300_1500_29.cnf	1677856032	300	1500	1497	0.00414343	1500	0.101029
test_data/max_4_sat/4sat_300_1500_50.cnf	1677856032	300	1500	1489	0.00314417	1500	0.0972441
test_data/max_4_sat/4sat_300_1500_11.cnf	1677856032	300	1500	1494	0.00513453	1500	0.133675
test_data/max_4_sat/4sat_300_1500_3.cnf	1677856032	300	1500	1493	0.00553566	1500	0.123002
test_data/max_4_sat/4sat_300_1500_1.cnf	1677856032	300	1500	1495	0.00513284	1500	0.126563
test_data/max_4_sat/4sat_300_1500_16.cnf	1677856033	300	1500	1495	0.003031	1500	0.1078
test_data/max_4_sat/4sat_300_1500_49.cnf	1677856033	300	1500	1495	0.00523176	1500	0.106159
test_data/max_4_sat/4sat_300_1500_13.cnf	1677856033	300	1500	1490	0.0023443	1500	0.202305
test_data/max_4_sat/4sat_300_1500_6.cnf	1677856033	300	1500	1495	0.00507749	1500	0.153855
test_data/max_4_sat/4sat_300_1500_31.cnf	1677856033	300	1500	1489	0.00364808	1500	0.235898
test_data/max_4_sat/4sat_300_1500_22.cnf	1677856033	300	1500	1492	0.00353694	1500	0.187693
test_data/max_4_sat/4sat_300_1500_35.cnf	1677856034	300	1500	1492	0.00468938	1500	0.131245
test_data/max_4_sat/4sat_300_1500_39.cnf	1677856034	300	1500	1498	0.00531781	1500	0.0235033
test_data/max_4_sat/4sat_300_1500_23.cnf	1677856034	300	1500	1492	0.00351395	1500	0.184034
test_data/max_4_sat/4sat_300_1500_47.cnf	1677856034	300	1500	1494	0.00448334	1500	0.153358
test_data/max_4_sat/4sat_300_1500_27.cnf	1677856034	300	1500	1493	0.00312737	1500	0.084865
test_data/max_4_sat/4sat_300_2500_26.cnf	1677856034	300	2500	2475	0.0116081	2495	4.01302
test_data/max_4_sat/4sat_300_2500_22.cnf	1677856038	300	2500	2480	0.0133971	2498	2.75772
test_data/max_4_sat/4sat_300_2500_32.cnf	1677856041	300	2500	2475	0.00967311	2496	3.32313
test_data/max_4_sat/4sat_300_2500_49.cnf	1677856044	300	2500	2467	0.00843644	2498	3.4702
test_data/max_4_sat/4sat_300_2500_15.cnf	1677856048	300	2500	2468	0.00837624	2496	3.90646
test_data/max_4_sat/4sat_300_2500_28.cnf	1677856052	300	2500	2474	0.013035	2498	2.95289
test_data/max_4_sat/4sat_300_2500_37.cnf	1677856055	300	2500	2475	0.0102088	2497	3.18528
test_data/max_4_sat/4sat_300_2500_21.cnf	1677856058	300	2500	2473	0.0108255	2496	3.52891
test_data/max_4_sat/4sat_300_2500_10.cnf	1677856062	300	2500	2473	0.00855399	2497	3.39315
test_data/max_4_sat/4sat_300_2500_27.cnf	1677856065	300	2500	2467	0.00836901	2496	3.53137
test_data/max_4_sat/4sat_300_2500_42.cnf	1677856069	300	2500	2476	0.0130294	2494	3.92105
test_data/max_4_sat/4sat_300_2500_50.cnf	1677856073	300	2500	2473	0.010507	2499	3.76032
test_data/max_4_sat/4sat_300_2500_40.cnf	1677856076	300	2500	2465	0.00829562	2495	3.77128
test_data/max_4_sat/4sat_300_2500_36.cnf	1677856080	300	2500	2478	0.0080761	2497	3.96714
test_data/max_4_sat/4sat_300_2500_2.cnf	1677856084	300	2500	2462	0.00819186	2498	3.25774
test_data/max_4_sat/4sat_300_2500_30.cnf	1677856087	300	2500	2467	0.0108329	2498	3.29107
test_data/max_4_sat/4sat_300_2500_3.cnf	1677856091	300	2500	2483	0.00873371	2496	3.33058
test_data/max_4_sat/4sat_300_2500_43.cnf	1677856094	300	2500	2459	0.0101043	2499	3.23076
test_data/max_4_sat/4sat_300_2500_19.cnf	1677856097	300	2500	2469	0.0151149	2496	3.83589
test_data/max_4_sat/4sat_300_2500_45.cnf	1677856101	300	2500	2469	0.0103193	2496	4.03349
test_data/max_4_sat/4sat_300_2500_41.cnf	1677856105	300	2500	2470	0.00958917	2496	3.81461
test_data/max_4_sat/4sat_300_2500_11.cnf	1677856109	300	2500	2473	0.00994138	2496	3.62669
test_data/max_4_sat/4sat_300_2500_5.cnf	1677856113	300	2500	2478	0.0118833	2494	3.91439
test_data/max_4_sat/4sat_300_2500_14.cnf	1677856117	300	2500	2475	0.0102015	2497	3.50624
test_data/max_4_sat/4sat_300_2500_33.cnf	1677856120	300	2500	2482	0.00865517	2500	2.10081
test_data/max_4_sat/4sat_300_2500_25.cnf	1677856122	300	2500	2467	0.00679331	2497	3.53732
test_data/max_4_sat/4sat_300_2500_4.cnf	1677856126	300	2500	2472	0.00704445	2497	3.37447
test_data/max_4_sat/4sat_300_2500_18.cnf	1677856129	300	2500	2468	0.0085563	2494	4.07858
test_data/max_4_sat/4sat_300_2500_47.cnf	1677856133	300	2500	2471	0.00787871	2497	3.67777
test_data/max_4_sat/4sat_300_2500_23.cnf	1677856137	300	2500	2471	0.00938494	2499	3.11068
test_data/max_4_sat/4sat_300_2500_48.cnf	1677856140	300	2500	2466	0.0115727	2498	3.73756
test_data/max_4_sat/4sat_300_2500_24.cnf	1677856144	300	2500	2475	0.007148	2497	3.77855
test_data/max_4_sat/4sat_300_2500_8.cnf	1677856148	300	2500	2469	0.00758594	2496	3.42334
test_data/max_4_sat/4sat_300_2500_17.cnf	1677856151	300	2500	2468	0.00676323	2496	3.74715
test_data/max_4_sat/4sat_300_2500_7.cnf	1677856155	300	2500	2470	0.0129739	2496	3.76273
test_data/max_4_sat/4sat_300_2500_13.cnf	1677856159	300	2500	2477	0.00759924	2499	3.09056
test_data/max_4_sat/4sat_300_2500_16.cnf	1677856162	300	2500	2477	0.00983063	2499	2.79806
test_data/max_4_sat/4sat_300_2500_46.cnf	1677856165	300	2500	2474	0.00911655	2493	4.21869
test_data/max_4_sat/4sat_300_2500_44.cnf	1677856170	300	2500	2471	0.0136976	2496	4.12853
test_data/max_4_sat/4sat_300_2500_39.cnf	1677856174	300	2500	2475	0.007788	2497	3.60403
test_data/max_4_sat/4sat_300_2500_34.cnf	1677856178	300	2500	2477	0.0258902	2499	3.52081
test_data/max_4_sat/4sat_300_2500_29.cnf	1677856181	300	2500	2475	0.00906317	2498	3.16709
test_data/max_4_sat/4sat_300_2500_12.cnf	1677856184	300	2500	2477	0.0179614	2495	3.73345
test_data/max_4_sat/4sat_300_2500_38.cnf	1677856188	300	2500	2469	0.0126979	2497	3.92731
test_data/max_4_sat/4sat_300_2500_6.cnf	1677856193	300	2500	2475	0.00838664	2497	3.71598
test_data/max_4_sat/4sat_300_2500_35.cnf	1677856196	300	2500	2478	0.00959992	2498	3.28776
test_data/max_4_sat/4sat_300_2500_1.cnf	1677856200	300	2500	2471	0.0118554	2498	3.59276
test_data/max_4_sat/4sat_300_2500_9.cnf	1677856204	300	2500	2460	0.0101062	2499	3.12017
test_data/max_4_sat/4sat_300_2500_20.cnf	1677856207	300	2500	2468	0.0121083	2495	4.13727
test_data/max_4_sat/4sat_300_2500_31.cnf	1677856211	300	2500	2472	0.0102197	2496	3.70045
test_data/max_4_sat/4sat_300_3000_32.cnf	1677856215	300	3000	2962	0.0134988	2989	6.54065
test_data/max_4_sat/4sat_300_3000_26.cnf	1677856221	300	3000	2962	0.0190337	2989	6.371
test_data/max_4_sat/4sat_300_3000_45.cnf	1677856228	300	3000	2956	0.0169232	2987	6.83771
test_data/max_4_sat/4sat_300_3000_11.cnf	1677856235	300	3000	2954	0.0183457	2989	6.54201
test_data/max_4_sat/4sat_300_3000_38.cnf	1677856241	300	3000	2954	0.0159475	2988	7.10033
test_data/max_4_sat/4sat_300_3000_34.cnf	1677856249	300	3000	2958	0.0239325	2985	7.7548
test_data/max_4_sat/4sat_300_3000_15.cnf	1677856258	300	3000	2960	0.0206131	2992	5.73049
test_data/max_4_sat/4sat_300_3000_3.cnf	1677856264	300	3000	2971	0.0183984	2992	5.2019
test_data/max_4_sat/4sat_300_3000_22.cnf	1677856270	300	3000	2960	0.0260803	2988	6.91383
test_data/max_4_sat/4sat_300_3000_23.cnf	1677856277	300	3000	2955	0.0161382	2990	5.99251
test_data/max_4_sat/4sat_300_3000_4.cnf	1677856283	300	3000	2959	0.0169447	2986	6.72653
test_data/max_4_sat/4sat_300_3000_25.cnf	1677856290	300	3000	2950	0.0138064	2989	6.47002
test_data/max_4_sat/4sat_300_3000_28.cnf	1677856296	300	3000	2958	0.0149254	2988	6.35964
test_data/max_4_sat/4sat_300_3000_48.cnf	1677856302	300	3000	2964	0.015293	2992	4.97568
test_data/max_4_sat/4sat_300_3000_35.cnf	1677856307	300	3000	2963	0.0153966	2991	5.94985
test_data/max_4_sat/4sat_300_3000_46.cnf	1677856313	300	3000	2957	0.0149982	2989	5.82975
test_data/max_4_sat/4sat_300_3000_1.cnf	1677856319	300	3000	2959	0.0111981	2992	5.57807
test_data/max_4_sat/4sat_300_3000_13.cnf	1677856325	300	3000	2957	0.015776	2987	6.68689
test_data/max_4_sat/4sat_300_3000_6.cnf	1677856332	300	3000	2958	0.015717	2992	5.74759
test_data/max_4_sat/4sat_300_3000_21.cnf	1677856338	300	3000	2957	0.0130052	2990	6.63749
test_data/max_4_sat/4sat_300_3000_40.cnf	1677856344	300	3000	2964	0.0163909	2990	6.14881
test_data/max_4_sat/4sat_300_3000_42.cnf	1677856350	300	3000	2953	0.0137959	2988	7.66814
test_data/max_4_sat/4sat_300_3000_31.cnf	1677856358	300	3000	2958	0.0123395	2991	5.97195
test_data/max_4_sat/4sat_300_3000_16.cnf	1677856364	300	3000	2959	0.00920845	2988	6.44829
test_data/max_4_sat/4sat_300_3000_36.cnf	1677856371	300	3000	2959	0.0103043	2993	5.94219
test_data/max_4_sat/4sat_300_3000_14.cnf	1677856377	300	3000	2960	0.0171219	2989	6.61342
test_data/max_4_sat/4sat_300_3000_5.cnf	1677856383	300	3000	2956	0.0105139	2993	5.50716
test_data/max_4_sat/4sat_300_3000_9.cnf	1677856389	300	3000	2960	0.0161533	2989	6.3126
test_data/max_4_sat/4sat_300_3000_29.cnf	1677856395	300	3000	2966	0.0161535	2993	5.63509
test_data/max_4_sat/4sat_300_3000_30.cnf	1677856401	300	3000	2958	0.022861	2987	6.79392
test_data/max_4_sat/4sat_300_3000_12.cnf	1677856408	300	3000	2956	0.0117518	2986	6.41122
test_data/max_4_sat/4sat_300_3000_43.cnf	1677856414	300	3000	2957	0.0185448	2991	5.80149
test_data/max_4_sat/4sat_300_3000_27.cnf	1677856420	300	3000	2965	0.0229326	2992	6.22359
test_data/max_4_sat/4sat_300_3000_8.cnf	1677856426	300	3000	2966	0.016019	2988	6.58621
test_data/max_4_sat/4sat_300_3000_37.cnf	1677856433	300	3000	2963	0.0140049	2989	6.30258
test_data/max_4_sat/4sat_300_3000_7.cnf	1677856439	300	3000	2950	0.0151906	2990	6.13655
test_data/max_4_sat/4sat_300_3000_19.cnf	1677856446	300	3000	2966	0.0124786	2988	5.91968
test_data/max_4_sat/4sat_300_3000_50.cnf	1677856452	300	3000	2968	0.0236539	2993	5.16971
test_data/max_4_sat/4sat_300_3000_49.cnf	1677856457	300	3000	2944	0.0134602	2985	6.8588
test_data/max_4_sat/4sat_300_3000_24.cnf	1677856464	300	3000	2952	0.0108697	2991	6.36859
test_data/max_4_sat/4sat_300_3000_20.cnf	1677856470	300	3000	2951	0.0141121	2991	6.53101
test_data/max_4_sat/4sat_300_3000_18.cnf	1677856477	300	3000	2971	0.011133	2987	5.89478
test_data/max_4_sat/4sat_300_3000_47.cnf	1677856483	300	3000	2970	0.0169943	2986	6.22971
test_data/max_4_sat/4sat_300_3000_10.cnf	1677856489	300	3000	2961	0.0167248	2985	7.5103
test_data/max_4_sat/4sat_300_3000_41.cnf	1677856496	300	3000	2956	0.0107019	2986	5.85623
test_data/max_4_sat/4sat_300_3000_44.cnf	1677856502	300	3000	2967	0.0146592	2989	5.94093
test_data/max_4_sat/4sat_300_3000_39.cnf	1677856508	300	3000	2954	0.0129364	2990	6.86638
test_data/max_4_sat/4sat_300_3000_2.cnf	1677856515	300	3000	2963	0.0197254	2991	5.34659
test_data/max_4_sat/4sat_300_3000_33.cnf	1677856521	300	3000	2962	0.0150322	2990	6.42742
test_data/max_4_sat/4sat_300_3000_17.cnf	1677856527	300	3000	2954	0.00837856	2991	6.34382
test_data/max_4_sat/4sat_1000_10000_9.cnf	1677856533	1000	10000	9873	0.173864	9964	162.542
test_data/max_4_sat/4sat_1000_10000_32.cnf	1677856696	1000	10000	9864	0.142927	9961	182.628
test_data/max_4_sat/4sat_1000_10000_10.cnf	1677856879	1000	10000	9866	0.151356	9957	151.378
test_data/max_4_sat/4sat_1000_10000_28.cnf	1677857031	1000	10000	9877	0.161387	9960	161.979
test_data/max_4_sat/4sat_1000_10000_21.cnf	1677857193	1000	10000	9884	0.212484	9951	165.353
test_data/max_4_sat/4sat_1000_10000_33.cnf	1677857359	1000	10000	9870	0.135261	9960	149.698
test_data/max_4_sat/4sat_1000_10000_16.cnf	1677857509	1000	10000	9887	0.174491	9958	176.908
test_data/max_4_sat/4sat_1000_10000_50.cnf	1677857686	1000	10000	9837	0.135396	9964	158.745
test_data/max_4_sat/4sat_1000_10000_6.cnf	1677857845	1000	10000	9868	0.158802	9961	178.487
